uid,area,outages,customers,percent_out,dt_stamp
Anne_Arundel2023-02-22T13:45:36,Anne Arundel,0,260006,0.00,02/22/2023 01:45:36 PM
Baltimore2023-02-22T13:45:36,Baltimore,10,375749,0.00,02/22/2023 01:45:36 PM
Baltimore_City2023-02-22T13:45:36,Baltimore City,4,281685,0.00,02/22/2023 01:45:36 PM
Calvert2023-02-22T13:45:36,Calvert,4,41821,0.01,02/22/2023 01:45:36 PM
Caroline2023-02-22T13:45:36,Caroline,0,16234,0.00,02/22/2023 01:45:36 PM
Carroll2023-02-22T13:45:36,Carroll,0,76236,0.00,02/22/2023 01:45:36 PM
Cecil2023-02-22T13:45:36,Cecil,0,50237,0.00,02/22/2023 01:45:36 PM
Queen_Anne's2023-02-16T02:15:36,Queen Anne's,0,27191,0.00,02/16/2023 02:15:36 AM
Charles2023-02-22T13:45:36,Charles,6,70731,0.01,02/22/2023 01:45:36 PM
Dorchester2023-02-22T13:45:36,Dorchester,0,19780,0.00,02/22/2023 01:45:36 PM
Frederick2023-02-22T13:45:36,Frederick,1,116399,0.00,02/22/2023 01:45:36 PM
Garrett2023-02-22T13:45:36,Garrett,1,20466,0.00,02/22/2023 01:45:36 PM
Harford2023-02-22T13:45:36,Harford,0,113312,0.00,02/22/2023 01:45:36 PM
Howard2023-02-22T13:45:36,Howard,4,136870,0.00,02/22/2023 01:45:36 PM
Somerset2023-02-16T02:15:36,Somerset,0,11431,0.00,02/16/2023 02:15:36 AM
St._Mary's2023-02-16T02:15:36,St. Mary's,0,55824,0.00,02/16/2023 02:15:36 AM
Kent2023-02-22T13:45:36,Kent,0,12298,0.00,02/22/2023 01:45:36 PM
Montgomery2023-02-22T13:45:36,Montgomery,4,382961,0.00,02/22/2023 01:45:36 PM
Prince_George's2023-02-22T13:45:36,Prince George's,48,347810,0.01,02/22/2023 01:45:36 PM
Queen_Anne's2023-02-22T13:45:36,Queen Anne's,0,27198,0.00,02/22/2023 01:45:36 PM
Somerset2023-02-22T13:45:36,Somerset,0,11428,0.00,02/22/2023 01:45:36 PM
St._Mary's2023-02-22T13:45:36,St. Mary's,0,55824,0.00,02/22/2023 01:45:36 PM
Talbot2023-02-16T02:15:36,Talbot,0,23602,0.00,02/16/2023 02:15:36 AM
Washington2023-02-16T02:15:36,Washington,0,54074,0.00,02/16/2023 02:15:36 AM
Wicomico2023-02-16T02:15:36,Wicomico,0,49822,0.00,02/16/2023 02:15:36 AM
Worcester2023-02-16T02:15:36,Worcester,0,59659,0.00,02/16/2023 02:15:36 AM
Queen_Anne's2023-02-16T06:30:34,Queen Anne's,0,27194,0.00,02/16/2023 06:30:34 AM
Somerset2023-02-16T06:30:34,Somerset,0,11433,0.00,02/16/2023 06:30:34 AM
St._Mary's2023-02-16T06:30:34,St. Mary's,0,55824,0.00,02/16/2023 06:30:34 AM
Talbot2023-02-16T06:30:34,Talbot,0,23608,0.00,02/16/2023 06:30:34 AM
Talbot2023-02-22T13:45:36,Talbot,0,23608,0.00,02/22/2023 01:45:36 PM
Washington2023-02-22T13:45:36,Washington,0,54073,0.00,02/22/2023 01:45:36 PM
Wicomico2023-02-22T13:45:36,Wicomico,0,49863,0.00,02/22/2023 01:45:36 PM
Worcester2023-02-22T13:45:36,Worcester,2,59646,0.00,02/22/2023 01:45:36 PM
Allegany2023-02-22T14:00:41,Allegany,0,37533,0.00,02/22/2023 02:00:41 PM
Anne_Arundel2023-02-22T14:00:41,Anne Arundel,0,260006,0.00,02/22/2023 02:00:41 PM
Baltimore2023-02-22T14:00:41,Baltimore,10,375749,0.00,02/22/2023 02:00:41 PM
Baltimore_City2023-02-22T14:00:41,Baltimore City,4,281685,0.00,02/22/2023 02:00:41 PM
Calvert2023-02-22T14:00:41,Calvert,4,41821,0.01,02/22/2023 02:00:41 PM
Allegany2023-02-14T10:45:38,Allegany,1,37533,0.00,02/14/2023 10:45:38 AM
Allegany2023-02-16T02:30:34,Allegany,0,37532,0.00,02/16/2023 02:30:34 AM
Washington2023-02-16T06:30:34,Washington,0,54074,0.00,02/16/2023 06:30:34 AM
Wicomico2023-02-16T06:30:34,Wicomico,0,49833,0.00,02/16/2023 06:30:34 AM
Worcester2023-02-16T06:30:34,Worcester,0,59671,0.00,02/16/2023 06:30:34 AM
Harford2023-02-17T22:00:38,Harford,7,113303,0.01,02/17/2023 10:00:38 PM
Howard2023-02-17T22:00:38,Howard,4,137526,0.00,02/17/2023 10:00:38 PM
Allegany2023-02-20T12:15:35,Allegany,1,37531,0.00,02/20/2023 12:15:35 PM
Anne_Arundel2023-02-20T12:15:35,Anne Arundel,6,259986,0.00,02/20/2023 12:15:35 PM
Caroline2023-02-22T14:00:41,Caroline,0,16234,0.00,02/22/2023 02:00:41 PM
Carroll2023-02-22T14:00:41,Carroll,0,76236,0.00,02/22/2023 02:00:41 PM
Cecil2023-02-22T14:00:41,Cecil,0,50237,0.00,02/22/2023 02:00:41 PM
Charles2023-02-22T14:00:41,Charles,7,70731,0.01,02/22/2023 02:00:41 PM
Dorchester2023-02-22T14:00:41,Dorchester,0,19780,0.00,02/22/2023 02:00:41 PM
Kent2023-02-17T22:00:38,Kent,4,12286,0.03,02/17/2023 10:00:38 PM
Baltimore2023-02-20T12:15:35,Baltimore,48,375742,0.01,02/20/2023 12:15:35 PM
Baltimore_City2023-02-20T12:15:35,Baltimore City,4,281733,0.00,02/20/2023 12:15:35 PM
Calvert2023-02-20T12:15:35,Calvert,0,41821,0.00,02/20/2023 12:15:35 PM
Caroline2023-02-20T12:15:35,Caroline,18,16241,0.11,02/20/2023 12:15:35 PM
Carroll2023-02-20T12:15:35,Carroll,0,76237,0.00,02/20/2023 12:15:35 PM
Cecil2023-02-20T12:15:35,Cecil,4,50236,0.01,02/20/2023 12:15:35 PM
Charles2023-02-20T12:15:35,Charles,2,70731,0.00,02/20/2023 12:15:35 PM
Anne_Arundel2023-02-26T08:45:34,Anne Arundel,0,260037,0.00,02/26/2023 08:45:34 AM
Baltimore2023-02-26T08:45:34,Baltimore,54,375845,0.01,02/26/2023 08:45:34 AM
Montgomery2023-02-17T22:00:38,Montgomery,204,382964,0.05,02/17/2023 10:00:38 PM
Prince_George's2023-02-17T22:00:38,Prince George's,37,347794,0.01,02/17/2023 10:00:38 PM
Queen_Anne's2023-02-17T22:00:38,Queen Anne's,19,27181,0.07,02/17/2023 10:00:38 PM
Somerset2023-02-17T22:00:38,Somerset,0,11393,0.00,02/17/2023 10:00:38 PM
St._Mary's2023-02-17T22:00:38,St. Mary's,3,55824,0.01,02/17/2023 10:00:38 PM
Talbot2023-02-17T22:00:38,Talbot,0,23523,0.00,02/17/2023 10:00:38 PM
Washington2023-02-17T22:00:38,Washington,0,54074,0.00,02/17/2023 10:00:38 PM
Frederick2023-02-22T14:00:41,Frederick,1,116399,0.00,02/22/2023 02:00:41 PM
Wicomico2023-02-17T22:00:38,Wicomico,0,49763,0.00,02/17/2023 10:00:38 PM
Worcester2023-02-17T22:00:38,Worcester,0,59588,0.00,02/17/2023 10:00:38 PM
Garrett2023-02-22T14:00:41,Garrett,0,20466,0.00,02/22/2023 02:00:41 PM
